experiment,ppid,session_num,trial_num,block_num,trial_num_in_block,start_time,end_time,landmark_estimates_location_0,landmark_gaze_data_location_0,manual_reach_gaze_data_location_0,manual_reach_vrpn_movement_location_0,manual_reach_openvr_movement_steamvr_location_0,manual_reach_manus_movement_manus_Bip01 R Hand_location_0,tool_reach_gaze_data_location_0,tool_reach_vrpn_tool_movement_location_0,tool_reach_vive_tool_movement_steamvr_location_0,tool_reach_manus_movement_manus_Bip01 R Hand_location_0
3_avatartooluse,d3-006,2,69,3,33,2751.528,2756.699,,,,,,,3_avatartooluse/d3-006/S002/trackers/tool_reach/tool_reach_gaze_data_T069.csv,3_avatartooluse/d3-006/S002/trackers/tool_reach/tool_reach_vrpn_tool_movement_T069.csv,3_avatartooluse/d3-006/S002/trackers/tool_reach/tool_reach_vive_tool_movement_steamvr_T069.csv,3_avatartooluse/d3-006/S002/trackers/tool_reach/tool_reach_manus_movement_manus_Bip01 R Hand_T069.csv
3_avatartooluse,d3-006,2,70,3,34,2759.657,2764.409,,,,,,,3_avatartooluse/d3-006/S002/trackers/tool_reach/tool_reach_gaze_data_T070.csv,3_avatartooluse/d3-006/S002/trackers/tool_reach/tool_reach_vrpn_tool_movement_T070.csv,3_avatartooluse/d3-006/S002/trackers/tool_reach/tool_reach_vive_tool_movement_steamvr_T070.csv,3_avatartooluse/d3-006/S002/trackers/tool_reach/tool_reach_manus_movement_manus_Bip01 R Hand_T070.csv
3_avatartooluse,d3-006,2,71,3,35,2767.365,2773.524,,,,,,,3_avatartooluse/d3-006/S002/trackers/tool_reach/tool_reach_gaze_data_T071.csv,3_avatartooluse/d3-006/S002/trackers/tool_reach/tool_reach_vrpn_tool_movement_T071.csv,3_avatartooluse/d3-006/S002/trackers/tool_reach/tool_reach_vive_tool_movement_steamvr_T071.csv,3_avatartooluse/d3-006/S002/trackers/tool_reach/tool_reach_manus_movement_manus_Bip01 R Hand_T071.csv
3_avatartooluse,d3-006,2,72,3,36,2776.483,2781.926,,,,,,,3_avatartooluse/d3-006/S002/trackers/tool_reach/tool_reach_gaze_data_T072.csv,3_avatartooluse/d3-006/S002/trackers/tool_reach/tool_reach_vrpn_tool_movement_T072.csv,3_avatartooluse/d3-006/S002/trackers/tool_reach/tool_reach_vive_tool_movement_steamvr_T072.csv,3_avatartooluse/d3-006/S002/trackers/tool_reach/tool_reach_manus_movement_manus_Bip01 R Hand_T072.csv
3_avatartooluse,d3-006,2,73,3,37,2784.885,2790.438,,,,,,,3_avatartooluse/d3-006/S002/trackers/tool_reach/tool_reach_gaze_data_T073.csv,3_avatartooluse/d3-006/S002/trackers/tool_reach/tool_reach_vrpn_tool_movement_T073.csv,3_avatartooluse/d3-006/S002/trackers/tool_reach/tool_reach_vive_tool_movement_steamvr_T073.csv,3_avatartooluse/d3-006/S002/trackers/tool_reach/tool_reach_manus_movement_manus_Bip01 R Hand_T073.csv
3_avatartooluse,d3-006,2,74,3,38,2793.397,2798.831,,,,,,,3_avatartooluse/d3-006/S002/trackers/tool_reach/tool_reach_gaze_data_T074.csv,3_avatartooluse/d3-006/S002/trackers/tool_reach/tool_reach_vrpn_tool_movement_T074.csv,3_avatartooluse/d3-006/S002/trackers/tool_reach/tool_reach_vive_tool_movement_steamvr_T074.csv,3_avatartooluse/d3-006/S002/trackers/tool_reach/tool_reach_manus_movement_manus_Bip01 R Hand_T074.csv
3_avatartooluse,d3-006,2,75,3,39,2801.781,2807.046,,,,,,,3_avatartooluse/d3-006/S002/trackers/tool_reach/tool_reach_gaze_data_T075.csv,3_avatartooluse/d3-006/S002/trackers/tool_reach/tool_reach_vrpn_tool_movement_T075.csv,3_avatartooluse/d3-006/S002/trackers/tool_reach/tool_reach_vive_tool_movement_steamvr_T075.csv,3_avatartooluse/d3-006/S002/trackers/tool_reach/tool_reach_manus_movement_manus_Bip01 R Hand_T075.csv
3_avatartooluse,d3-006,2,76,3,40,2815.353,2821.484,,,,,,,3_avatartooluse/d3-006/S002/trackers/tool_reach/tool_reach_gaze_data_T076.csv,3_avatartooluse/d3-006/S002/trackers/tool_reach/tool_reach_vrpn_tool_movement_T076.csv,3_avatartooluse/d3-006/S002/trackers/tool_reach/tool_reach_vive_tool_movement_steamvr_T076.csv,3_avatartooluse/d3-006/S002/trackers/tool_reach/tool_reach_manus_movement_manus_Bip01 R Hand_T076.csv
3_avatartooluse,d3-006,2,77,3,41,2824.438,2830.124,,,,,,,3_avatartooluse/d3-006/S002/trackers/tool_reach/tool_reach_gaze_data_T077.csv,3_avatartooluse/d3-006/S002/trackers/tool_reach/tool_reach_vrpn_tool_movement_T077.csv,3_avatartooluse/d3-006/S002/trackers/tool_reach/tool_reach_vive_tool_movement_steamvr_T077.csv,3_avatartooluse/d3-006/S002/trackers/tool_reach/tool_reach_manus_movement_manus_Bip01 R Hand_T077.csv
3_avatartooluse,d3-006,2,78,3,42,2833.077,2842.095,,,,,,,3_avatartooluse/d3-006/S002/trackers/tool_reach/tool_reach_gaze_data_T078.csv,3_avatartooluse/d3-006/S002/trackers/tool_reach/tool_reach_vrpn_tool_movement_T078.csv,3_avatartooluse/d3-006/S002/trackers/tool_reach/tool_reach_vive_tool_movement_steamvr_T078.csv,3_avatartooluse/d3-006/S002/trackers/tool_reach/tool_reach_manus_movement_manus_Bip01 R Hand_T078.csv
