ppid,trial_num_in_block,time,start_time
d3-024,9,post,225
d3-024,10,post,245
d3-024,11,post,305
d3-024,12,post,375
d3-024,13,post,290
d3-024,14,post,300
d3-024,15,post,370
d3-024,16,post,115
d3-024,17,post,255
d3-024,18,post,195
d3-024,1,pre,
d3-024,2,pre,
d3-024,3,pre,
d3-024,4,pre,
d3-024,5,pre,
d3-024,6,pre,
d3-024,7,pre,
d3-024,8,pre,
d3-024,9,pre,
d3-024,10,pre,
d3-024,11,pre,
d3-024,12,pre,
d3-024,13,pre,
d3-024,14,pre,
d3-024,15,pre,
d3-024,16,pre,
d3-024,17,pre,
d3-024,18,pre,
