ppid,experiment,order,block,trial,time,target,lapse_fix_target,error,lapse_fix_error,forearmlength,closest_to,lapse
d3-005,3_avatartooluse,second,5,5,post,Elbow,Elbow,-0.0507,-0.0507,0.276,Elbow,FALSE
d3-005,3_avatartooluse,second,5,6,post,Forearm,Forearm,-0.0846,-0.0846,0.2756,Elbow,FALSE
d3-005,3_avatartooluse,second,5,7,post,Wrist,Wrist,-0.0954,-0.0954,0.2757,Forearm,FALSE
d3-005,3_avatartooluse,second,5,8,post,Forearm,Forearm,-0.1093,-0.1093,0.2773,Elbow,FALSE
d3-005,3_avatartooluse,second,5,9,post,Elbow,Elbow,-0.0615,-0.0615,0.2786,Elbow,FALSE
d3-005,3_avatartooluse,second,5,10,post,Wrist,Wrist,-0.0719,-0.0719,0.279,Forearm,FALSE
d3-005,3_avatartooluse,second,5,11,post,Forearm,Forearm,-0.1194,-0.1194,0.2803,Elbow,FALSE
d3-005,3_avatartooluse,second,5,12,post,Elbow,Elbow,-0.0425,-0.0425,0.2821,Elbow,FALSE
d3-005,3_avatartooluse,second,5,13,post,Forearm,Forearm,-0.0972,-0.0972,0.2824,Elbow,FALSE
d3-005,3_avatartooluse,second,5,14,post,Wrist,Forearm,-0.1474,-0.00680000000000003,0.2829,Forearm,TRUE
d3-005,3_avatartooluse,second,5,15,post,Elbow,Elbow,-0.071,-0.071,0.284,Elbow,FALSE
d3-005,3_avatartooluse,second,5,16,post,Forearm,Forearm,-0.0829,-0.0829,0.2842,Elbow,FALSE
d3-005,3_avatartooluse,second,5,17,post,Elbow,Elbow,-0.0731,-0.0731,0.2849,Elbow,FALSE
d3-005,3_avatartooluse,second,5,18,post,Wrist,Wrist,-0.1148,-0.1148,0.2848,Forearm,FALSE
d3-007,3_avatartooluse,pre,1,1,pre,Wrist,Wrist,0.0469,0.0469,0.2479,Wrist,FALSE
d3-007,3_avatartooluse,pre,1,2,pre,Forearm,Forearm,-0.0326,-0.0326,0.2507,Forearm,FALSE
d3-007,3_avatartooluse,pre,1,3,pre,Elbow,Elbow,-0.0257,-0.0257,0.2519,Elbow,FALSE
d3-007,3_avatartooluse,pre,1,4,pre,Wrist,Wrist,0.1138,0.1138,0.2527,Wrist,FALSE
d3-007,3_avatartooluse,pre,1,5,pre,Forearm,Forearm,-0.0025,-0.0025,0.253,Forearm,FALSE
d3-007,3_avatartooluse,pre,1,6,pre,Elbow,Elbow,-0.0044,-0.0044,0.253,Elbow,FALSE
d3-007,3_avatartooluse,pre,1,7,pre,Wrist,Wrist,0.0424,0.0424,0.2539,Wrist,FALSE
d3-007,3_avatartooluse,pre,1,8,pre,Elbow,Elbow,-0.0878,-0.0878,0.2546,Elbow,FALSE
d3-007,3_avatartooluse,pre,1,9,pre,Forearm,Forearm,0.0862,0.0862,0.2551,Wrist,FALSE
d3-007,3_avatartooluse,pre,1,10,pre,Wrist,Wrist,0.1182,0.1182,0.2563,Wrist,FALSE
d3-007,3_avatartooluse,pre,1,11,pre,Forearm,Forearm,-0.0297,-0.0297,0.2582,Forearm,FALSE
d3-007,3_avatartooluse,pre,1,12,pre,Elbow,Elbow,-0.0742,-0.0742,0.2566,Elbow,FALSE
d3-007,3_avatartooluse,pre,1,13,pre,Forearm,Forearm,-0.0191,-0.0191,0.2561,Forearm,FALSE
d3-007,3_avatartooluse,pre,1,14,pre,Elbow,Elbow,-0.044,-0.044,0.2561,Elbow,FALSE
d3-007,3_avatartooluse,pre,1,15,pre,Wrist,Wrist,0.015,0.015,0.2547,Wrist,FALSE
d3-007,3_avatartooluse,pre,1,16,pre,Forearm,Forearm,-0.0234,-0.0234,0.2552,Forearm,FALSE
d3-007,3_avatartooluse,pre,1,17,pre,Wrist,Wrist,0.0774,0.0774,0.2552,Wrist,FALSE
d3-007,3_avatartooluse,pre,1,18,pre,Elbow,Elbow,-0.1177,-0.1177,0.254,Elbow,FALSE
d3-007,3_avatartooluse,second,5,1,post,Elbow,Elbow,0.0675,0.0675,0.2653,Forearm,FALSE
d3-007,3_avatartooluse,second,5,2,post,Forearm,Forearm,0.054,0.054,0.2651,Forearm,FALSE
d3-007,3_avatartooluse,second,5,3,post,Wrist,Wrist,0.0412,0.0412,0.2644,Wrist,FALSE
d3-007,3_avatartooluse,second,5,4,post,Elbow,Elbow,0.022,0.022,0.2651,Elbow,FALSE
d3-007,3_avatartooluse,second,5,5,post,Wrist,Wrist,0.0373,0.0373,0.2675,Wrist,FALSE
d3-007,3_avatartooluse,second,5,6,post,Forearm,Forearm,0.0491,0.0491,0.2688,Forearm,FALSE
d3-007,3_avatartooluse,second,5,7,post,Elbow,Elbow,0.0167,0.0167,0.2695,Elbow,FALSE
d3-007,3_avatartooluse,second,5,8,post,Forearm,Forearm,0.0598,0.0598,0.2705,Forearm,FALSE
d3-007,3_avatartooluse,second,5,9,post,Wrist,Wrist,0.0215,0.0215,0.2704,Wrist,FALSE
d3-007,3_avatartooluse,second,5,10,post,Elbow,Elbow,0.031,0.031,0.2706,Elbow,FALSE
d3-007,3_avatartooluse,second,5,11,post,Forearm,Forearm,-0.0026,-0.0026,0.2706,Forearm,FALSE
d3-007,3_avatartooluse,second,5,12,post,Wrist,Wrist,-0.0227,-0.0227,0.2697,Wrist,FALSE
d3-007,3_avatartooluse,second,5,13,post,Forearm,Forearm,0.0256,0.0256,0.2694,Forearm,FALSE
d3-007,3_avatartooluse,second,5,14,post,Elbow,Elbow,-0.0107,-0.0107,0.2689,Elbow,FALSE
d3-007,3_avatartooluse,second,5,15,post,Wrist,Wrist,0.0328,0.0328,0.2684,Wrist,FALSE
d3-007,3_avatartooluse,second,5,16,post,Elbow,Elbow,-0.0564,-0.0564,0.2682,Elbow,FALSE
d3-007,3_avatartooluse,second,5,17,post,Forearm,Forearm,-0.0094,-0.0094,0.2668,Forearm,FALSE
