ppid,trial_num_in_block,time,order,vel_m_filt,vel_lat_filt,acc_m_filtfilt,dec_m_filtfilt,acc_lat_filtfilt,dec_lat_filtfilt,tracking,combined_vel,combined_vel_lat,combined_acc,combined_acc_lat,combined_dec,combined_dec_lat,ovr_vel_m_filt,ovr_vel_lat_filt,ovr_acc_m_filtfilt,ovr_acc_lat_filtfilt,ovr_dec_m_filtfilt,ovr_dec_lat_filtfilt
d3-005,17,post,first,1143.32900996565,490,5304.89491814675,-4947.19414481593,260,625,ppt,,,,,,,,,,,,
d3-005,17,pre,pre,1111.0868473271,384.316666666667,6356.96817090113,-4748.62175439373,217.35,541.85,ppt,,,,,,,,,,,,
d3-005,18,post,first,1246.35812015452,460,6436.65904654128,-7681.85777898009,310,570,ppt,,,,,,,,,,,,
d3-005,18,pre,pre,1116.62005258642,440,6738.08919783262,-4232.6952504751,225,605,ppt,,,,,,,,,,,,
d3-006,1,post,second,1026.17023423254,630,3313.87156359026,-2926.89149371893,105,905,steamvr,1026.17023423254,630,3313.87156359026,105,-2926.89149371893,905,1230.01774269149,620,4124.44037049887,105,-3600.88061821334,920
d3-006,1,pre,pre,809.65203839695,670,2277.89145623708,-2120.21364825123,290,1015,steamvr,809.65203839695,670,2277.89145623708,290,-2120.21364825123,1015,977.099747033261,650,2869.25419933514,290,-2497.60837971272,1035
d3-006,2,post,second,1037.39601088602,535,2741.238088756,-2937.49010728729,185,640,steamvr,1037.39601088602,535,2741.238088756,185,-2937.49010728729,640,1189.28068711856,545,3511.60106184512,185,-3227.13370749366,640
d3-006,2,pre,pre,873.008659729747,615,3876.97193258061,-4058.36310358711,190,790,steamvr,873.008659729747,615,3876.97193258061,190,-4058.36310358711,790,1033.58195248531,660,5019.56106116743,195,-5086.71628606756,800
d3-006,3,post,second,904.736748333631,665,4074.87090152639,-3309.59968896091,210,805,steamvr,904.736748333631,665,4074.87090152639,210,-3309.59968896091,805,1059.6804217061,680,5377.25855320378,215,-3917.15125539923,820
d3-006,3,pre,pre,1018.53146290269,665,2933.81345880126,-3571.36234545976,435,860,steamvr,1018.53146290269,665,2933.81345880126,435,-3571.36234545976,860,1172.00818554526,665,3971.86712965397,240,-4353.97157386026,860
d3-006,4,post,second,1182.41415385636,520,5539.50683755513,-4222.10563303121,175,700,steamvr,1182.41415385636,520,5539.50683755513,175,-4222.10563303121,700,1398.38241820424,535,7203.25702030884,175,-5185.04500705094,705
d3-006,4,pre,pre,976.430117583818,730,2374.19407634433,-4638.05726225427,195,940,steamvr,976.430117583818,730,2374.19407634433,195,-4638.05726225427,940,1176.94647354003,755,3176.69030403332,410,-5902.01641183361,950
d3-006,5,post,second,986.738870993434,520,4135.69297636123,-3764.04823409245,255,755,steamvr,986.738870993434,520,4135.69297636123,255,-3764.04823409245,755,1166.87189207517,510,5536.92855843139,270,-4395.70380248082,755
d3-006,5,pre,pre,1209.52752455587,675,4242.28743447976,-4608.06081224581,580,850,steamvr,1209.52752455587,675,4242.28743447976,580,-4608.06081224581,850,1464.23064023414,670,5563.73660713461,580,-5809.35164836254,840
d3-006,6,post,second,1105.42915540279,455,6070.97358862146,-3850.78785261919,170,650,steamvr,1105.42915540279,455,6070.97358862146,170,-3850.78785261919,650,1322.88906322581,445,7714.75681063931,175,-4496.98882819989,670
d3-006,6,pre,pre,1008.57376730344,730,2509.28044498271,-3359.92092979061,500,970,steamvr,1008.57376730344,730,2509.28044498271,500,-3359.92092979061,970,1198.07032021233,750,3016.70144284267,485,-4219.43503434931,970
d3-006,7,post,second,1015.17828900507,615,4076.43037465651,-3014.48878042388,255,750,steamvr,1015.17828900507,615,4076.43037465651,255,-3014.48878042388,750,1211.95424267649,620,5557.42975922879,255,-3773.93295312216,755
d3-006,7,pre,pre,1049.45026717637,610,5234.83142004257,-3151.16883632367,270,775,steamvr,1049.45026717637,610,5234.83142004257,270,-3151.16883632367,775,1225.18817286779,620,6927.9340849604,280,-3972.26420438584,865
d3-006,8,post,second,1047.41045856962,505,5551.60293203888,-3591.96346018894,225,665,steamvr,1047.41045856962,505,5551.60293203888,225,-3591.96346018894,665,1227.30523949361,510,7122.46149028805,250,-4110.81963060747,680
d3-006,8,pre,pre,1147.69062042171,635,4350.65772797214,-4455.7785224751,275,805,steamvr,1147.69062042171,635,4350.65772797214,275,-4455.7785224751,805,1363.12131991696,655,5703.3312335996,285,-5428.7766101188,805
d3-006,9,post,second,1152.38507788888,470,6499.73380116168,-4669.9902637587,190,690,steamvr,1152.38507788888,470,6499.73380116168,190,-4669.9902637587,690,1391.74046739551,455,8426.26948773413,190,-5259.14126732485,680
d3-006,9,pre,pre,1110.53601775539,565,3489.45766195809,-4186.62108638423,290,770,steamvr,1110.53601775539,565,3489.45766195809,290,-4186.62108638423,770,1306.06658456186,600,4433.78321360806,315,-5137.98087468915,790
d3-006,10,post,second,992.651112890454,555,4548.02297398101,-2916.87336080917,225,720,steamvr,992.651112890454,555,4548.02297398101,225,-2916.87336080917,720,1172.64708466339,570,6086.85193463535,230,-3480.78041567542,715
d3-006,10,pre,pre,1046.18694912295,530,4898.3521718747,-3668.64589629596,170,695,steamvr,1046.18694912295,530,4898.3521718747,170,-3668.64589629596,695,1244.10552028712,545,6428.48498528157,175,-4234.03854241965,680
d3-006,11,post,second,1001.74859484646,525,4828.87803560085,-3217.65261154263,280,755,steamvr,1001.74859484646,525,4828.87803560085,280,-3217.65261154263,755,1191.35474234931,475,6410.86330546377,290,-3768.01995591028,765
