experiment,ppid,session_num,trial_num,block_num,trial_num_in_block,start_time,end_time,landmarkstimulus_estimates_location_0,landmark_eyeTrackingData_location_0,manual_reach_vive_wrist_movement_steamvr_location_0,manual_reach_eyeTrackingData_location_0,manual_reach_ppt_hand_movement_location_0,tool_reach_vive_tool_movement_steamvr_location_0,tool_reach_ppt_tool_movement_location_0,tool_reach_eyeTrackingData_location_0
1_tooluseinVR,d1-005,1,87,4,3,1868.662,1871.627,1_tooluseinVR/d1-005/S001/trackers/landmark/landmarkstimulus_estimates_T087.csv,1_tooluseinVR/d1-005/S001/trackers/landmark/landmark_eyeTrackingData_T087.csv,,,,,,
1_tooluseinVR,d1-005,1,88,4,4,1875.681,1876.103,1_tooluseinVR/d1-005/S001/trackers/landmark/landmarkstimulus_estimates_T088.csv,1_tooluseinVR/d1-005/S001/trackers/landmark/landmark_eyeTrackingData_T088.csv,,,,,,
1_tooluseinVR,d1-005,1,89,4,5,1880.157,1883.022,1_tooluseinVR/d1-005/S001/trackers/landmark/landmarkstimulus_estimates_T089.csv,1_tooluseinVR/d1-005/S001/trackers/landmark/landmark_eyeTrackingData_T089.csv,,,,,,
1_tooluseinVR,d1-005,1,90,4,6,1887.076,1888.02,1_tooluseinVR/d1-005/S001/trackers/landmark/landmarkstimulus_estimates_T090.csv,1_tooluseinVR/d1-005/S001/trackers/landmark/landmark_eyeTrackingData_T090.csv,,,,,,
1_tooluseinVR,d1-005,1,91,4,7,1892.073,1892.451,1_tooluseinVR/d1-005/S001/trackers/landmark/landmarkstimulus_estimates_T091.csv,1_tooluseinVR/d1-005/S001/trackers/landmark/landmark_eyeTrackingData_T091.csv,,,,,,
1_tooluseinVR,d1-005,1,92,4,8,1896.505,1899.014,1_tooluseinVR/d1-005/S001/trackers/landmark/landmarkstimulus_estimates_T092.csv,1_tooluseinVR/d1-005/S001/trackers/landmark/landmark_eyeTrackingData_T092.csv,,,,,,
1_tooluseinVR,d1-005,1,93,4,9,1903.068,1905.312,1_tooluseinVR/d1-005/S001/trackers/landmark/landmarkstimulus_estimates_T093.csv,1_tooluseinVR/d1-005/S001/trackers/landmark/landmark_eyeTrackingData_T093.csv,,,,,,
1_tooluseinVR,d1-005,1,94,4,10,1909.365,1911.475,1_tooluseinVR/d1-005/S001/trackers/landmark/landmarkstimulus_estimates_T094.csv,1_tooluseinVR/d1-005/S001/trackers/landmark/landmark_eyeTrackingData_T094.csv,,,,,,
1_tooluseinVR,d1-005,1,95,4,11,1915.518,1917.161,1_tooluseinVR/d1-005/S001/trackers/landmark/landmarkstimulus_estimates_T095.csv,1_tooluseinVR/d1-005/S001/trackers/landmark/landmark_eyeTrackingData_T095.csv,,,,,,
1_tooluseinVR,d1-005,1,96,4,12,1921.215,1921.881,1_tooluseinVR/d1-005/S001/trackers/landmark/landmarkstimulus_estimates_T096.csv,1_tooluseinVR/d1-005/S001/trackers/landmark/landmark_eyeTrackingData_T096.csv,,,,,,
1_tooluseinVR,d1-005,1,97,4,13,1925.924,1928.467,1_tooluseinVR/d1-005/S001/trackers/landmark/landmarkstimulus_estimates_T097.csv,1_tooluseinVR/d1-005/S001/trackers/landmark/landmark_eyeTrackingData_T097.csv,,,,,,
1_tooluseinVR,d1-005,1,98,4,14,1932.521,1932.965,1_tooluseinVR/d1-005/S001/trackers/landmark/landmarkstimulus_estimates_T098.csv,1_tooluseinVR/d1-005/S001/trackers/landmark/landmark_eyeTrackingData_T098.csv,,,,,,
1_tooluseinVR,d1-005,1,99,4,15,1937.019,1938.851,1_tooluseinVR/d1-005/S001/trackers/landmark/landmarkstimulus_estimates_T099.csv,1_tooluseinVR/d1-005/S001/trackers/landmark/landmark_eyeTrackingData_T099.csv,,,,,,
1_tooluseinVR,d1-005,1,100,4,16,1942.905,1944.704,1_tooluseinVR/d1-005/S001/trackers/landmark/landmarkstimulus_estimates_T100.csv,1_tooluseinVR/d1-005/S001/trackers/landmark/landmark_eyeTrackingData_T100.csv,,,,,,
1_tooluseinVR,d1-005,1,101,4,17,1948.746,1951.556,1_tooluseinVR/d1-005/S001/trackers/landmark/landmarkstimulus_estimates_T101.csv,1_tooluseinVR/d1-005/S001/trackers/landmark/landmark_eyeTrackingData_T101.csv,,,,,,
1_tooluseinVR,d1-005,1,102,4,18,1955.61,1956.654,1_tooluseinVR/d1-005/S001/trackers/landmark/landmarkstimulus_estimates_T102.csv,1_tooluseinVR/d1-005/S001/trackers/landmark/landmark_eyeTrackingData_T102.csv,,,,,,
