ppid,trial_num_in_block,time,order,vel_m_filt,vel_lat_filt,acc_m_filtfilt,dec_m_filtfilt,acc_lat_filtfilt,dec_lat_filtfilt
d2-002,14,post,first,1109.2235637908327,530,3794.518987273337,-3602.864805470351,440,720
d2-002,14,pre,pre,1060.7835394133213,515,4689.658410512275,-3895.460131013047,395,690
d2-002,15,post,first,998.4836065806053,525,3483.140557866381,-3547.981960763882,380,710
d2-002,15,pre,pre,984.2290573042652,665,3474.3931076407844,-3223.8934514459866,520,845
d2-002,16,post,first,1115.786457614903,510,3961.529016146301,-4135.320059054287,360,685
d2-002,16,pre,pre,1082.2115253150296,560,3406.158162842296,-3612.797111864711,520,745
d2-002,17,post,first,1003.5139932992244,580,3178.4825883203102,-3174.4751379865065,450,710
d2-002,17,pre,pre,1042.0883549656141,530,3255.026890460394,-3866.2153848148046,375,680
d2-002,18,post,first,1010.4657361549117,600,4017.527781579969,-3172.21673865111,435,800
d2-002,18,pre,pre,1038.3138965246098,570,3819.0667784027273,-3307.656962188,430,670
d2-003,1,post,first,824.2412073175359,515,2558.342963103926,-2030.383147037013,135,805
d2-003,1,pre,pre,836.6394675624019,670,2228.0086993756895,-2035.5956425428847,270,985
d2-003,2,post,first,657.3612044331651,560,3965.251798764058,-1411.2289199260586,125,840
d2-003,2,pre,pre,737.1994277434087,560,3795.2990402697087,-1902.5992727447262,145,745
d2-003,3,post,first,743.5127658388902,745,4023.1001790256287,-1643.1874129847306,115,785
d2-003,3,pre,pre,800.6433100637832,595,3891.8300530319343,-2784.5829298966064,145,890
d2-003,4,post,first,635.9571799454916,655,4845.741005991482,-1652.1841911677418,120,1070
d2-003,4,pre,pre,813.444648841891,555,4899.122794845393,-2453.5931290930966,170,915
d2-003,5,post,first,653.1766913633281,580,3114.7691358211005,-1515.1204912828102,130,815
d2-003,5,pre,pre,738.0713972876845,620,3067.434537063615,-2043.4319318560508,180,870
d2-003,6,post,first,837.3003613970866,590,5111.342188143035,-2704.8643909040125,155,760
d2-003,6,pre,pre,711.1752315931392,645,3414.961580701471,-2013.3998747231433,145,910
d2-003,7,post,first,928.3815729878801,445,5044.4973733539255,-3137.0899412888016,105,695
d2-003,7,pre,pre,776.7164868832294,620,5066.127511023652,-2216.452419802786,135,830
d2-003,8,post,first,609.1910259677138,660,2266.655064464766,-1668.485880939225,115,970
d2-003,8,pre,pre,919.2605715022089,490,5819.814134054202,-3435.0542773359084,120,620
d2-003,9,post,first,929.3836343036389,490,3828.749036477126,-3375.163513295941,105,665
d2-003,9,pre,pre,771.1329195850221,555,4634.001941143706,-2323.285365540717,115,795
d2-003,10,post,first,814.9068459644568,550,3362.3899108317282,-2586.571598099308,150,735
d2-003,10,pre,pre,933.1278958084602,600,4450.759280679337,-2850.526005362288,105,725
d2-003,11,post,first,790.4318019864616,520,3415.7445691153007,-2353.919270134091,170,790
d2-003,11,pre,pre,806.4829239368726,625,3180.7607349629593,-2473.3986764878837,120,900
d2-003,12,post,first,850.4128557985466,690,2466.6612624114873,-2518.300979417983,115,960
d2-003,12,pre,pre,790.4166935378075,675,2556.6745160510445,-1685.8642923923571,150,970
d2-003,13,post,first,528.1034195520274,770,1549.2117943269814,-1132.7683986837376,570,1215
d2-003,13,pre,pre,893.1846459371891,670,2944.6922701967087,-2237.2207589177833,130,840
d2-003,14,post,first,690.6636299212043,655,2486.897700718254,-1697.2173071639027,115,980
d2-003,14,pre,pre,789.2607904069689,755,2948.7535468985366,-2584.683665615482,195,970
d2-003,15,post,first,822.0951817436012,620,4262.922055183537,-2473.2583065180897,110,795
d2-003,15,pre,pre,939.0454889542314,665,3732.8978155306113,-2664.734098728431,160,790
d2-003,16,post,first,859.137434447222,555,4381.65873287537,-2226.787875939143,170,690
d2-003,16,pre,pre,850.9719496713511,590,5603.92335015905,-2626.537179703963,120,850
d2-003,17,post,first,817.4525248497572,595,2681.344801857993,-2131.8445313746506,275,710
d2-003,17,pre,pre,948.2587701896625,570,4734.606427547542,-3484.7802695366154,165,735
d2-003,18,post,first,921.9648971793632,520,3735.5468753877444,-2646.6080200441775,165,645
d2-003,18,pre,pre,895.9355429718285,660,4431.171094081694,-2844.674385867054,150,835
d2-004,1,post,second,688.1686104410105,670,1994.440599890308,-2114.684411910474,480,945
d2-004,1,pre,pre,675.3003115676224,865,2069.564191719724,-2728.9005128983017,750,975
d2-004,2,post,second,518.9210243786473,800,1285.8131238479507,-1666.608163605726,120,860
d2-004,2,pre,pre,727.3491639178869,595,2071.7431811193337,-1885.6212273384501,185,820
d2-004,3,post,second,459.34114632157934,825,1164.0063282095653,-1122.626384497241,95,970
d2-004,3,pre,pre,780.494712436583,725,3454.404724353497,-2335.201152725722,590,935
d2-004,4,post,second,520.4515786154938,710,1815.982193453954,-1667.0386291503537,165,945
d2-004,4,pre,pre,805.1173720543643,514,4263.9716520598395,-2849.5005503461925,364,679
d2-004,5,post,second,562.065867498023,575,1869.470518353196,-2016.7460542618958,105,870
d2-004,5,pre,pre,553.8751686859453,1010,1581.5869818156539,-1195.80176343103,945,1350
d2-004,6,post,second,574.2770681306592,590,1563.7198093605418,-1627.1519272835594,110,865
d2-004,6,pre,pre,706.718250329717,505,2890.1337200816724,-1516.3286152795235,360,935
d2-004,7,post,second,546.1208396524319,490,1552.6948134005477,-1411.2777644201935,350,885
d2-004,7,pre,pre,584.5146223868896,670,1467.9360060822107,-1512.8164080778888,530,1005
d2-004,8,post,second,613.6314260194714,505,1887.361438985672,-1841.107128129403,335,875
d2-004,8,pre,pre,491.39936966520247,570,1440.935345829125,-1100.3158904262305,100,1120
d2-004,9,post,second,599.3936990372592,535,2632.630249990005,-1532.5529925040137,160,915
d2-004,9,pre,pre,498.76050919072975,935,897.3553844976735,-2232.5785048847847,820,1195
d2-004,10,post,second,571.6433405286607,700,1250.679279035191,-1835.0595007356342,360,875
d2-004,10,pre,pre,591.3095359444517,520,1538.3416395234563,-1533.1760069050024,440,850
d2-004,11,post,second,674.1965261814098,590,1790.1020383995728,-2483.077237574259,350,785
d2-004,11,pre,pre,557.1450294592056,760,1156.6462862867534,-1712.138221109481,320,965
d2-004,12,post,second,542.6347549734861,600,2038.75443293195,-1623.523257017035,130,785
d2-004,12,pre,pre,593.5117231196812,575,1667.4059313524033,-1603.99687003213,370,830
d2-004,13,post,second,584.6224222884755,600,1570.4206857506347,-1654.3730202308946,170,820
d2-004,13,pre,pre,460.7883960510043,690,1712.5775580928644,-1231.780635281735,150,1115
d2-004,14,post,second,490.52419893913634,640,2876.0662105492484,-2048.9381730614577,115,980
d2-004,14,pre,pre,556.789091414521,630,1436.4153558725693,-1835.1927225930867,155,770
d2-004,15,post,second,592.1202244569556,525,1718.6039612116515,-1981.2998587208876,350,780
d2-004,15,pre,pre,520.5457611825938,775,965.5159365185243,-1898.8155262977718,510,920
d2-004,16,post,second,559.8453006051518,405,3406.8946786649967,-1848.23844923886,120,840
d2-004,16,pre,pre,534.6856599674154,680,1215.0570488944954,-1454.367762410212,355,865
d2-004,17,post,second,525.3668842854697,690,1141.2885745257536,-1957.4723844496539,230,970
