ppid,trial_num_in_block,time,start_time
d2-024,10,pre,460
d2-024,11,pre,360
d2-024,12,pre,155
d2-024,13,pre,295
d2-024,14,pre,275
d2-024,15,pre,340
d2-024,16,pre,265
d2-024,17,pre,185
d2-024,18,pre,225
d2-025,1,post,345
d2-025,2,post,315
d2-025,3,post,305
d2-025,4,post,60
d2-025,5,post,385
d2-025,6,post,340
d2-025,7,post,325
d2-025,8,post,185
d2-025,9,post,320
d2-025,10,post,405
d2-025,11,post,390
d2-025,12,post,370
d2-025,13,post,310
d2-025,14,post,75
d2-025,15,post,350
d2-025,16,post,125
d2-025,17,post,355
d2-025,18,post,325
d2-025,1,pre,385
d2-025,2,pre,440
d2-025,3,pre,395
d2-025,4,pre,210
d2-025,5,pre,400
d2-025,6,pre,320
d2-025,7,pre,705
d2-025,8,pre,355
d2-025,9,pre,350
d2-025,10,pre,510
d2-025,11,pre,370
d2-025,12,pre,355
d2-025,13,pre,365
d2-025,14,pre,330
d2-025,15,pre,390
d2-025,16,pre,330
d2-025,17,pre,390
d2-025,18,pre,320
