experiment,ppid,session_num,trial_num,block_num,trial_num_in_block,start_time,end_time,manual_reach_vive_wrist_movement_steamvr_location_0,manual_reach_ppt_hand_movement_location_0,manual_reach_eyeTrackingData_location_0,tool_reach_vive_tool_movement_steamvr_location_0,tool_reach_eyeTrackingData_location_0,tool_reach_ppt_tool_movement_location_0,landmarkstimulus_estimates_location_0,landmark_eyeTrackingData_location_0
1_tooluseinVR,d1-022,2,67,3,1,1219.226,1221.08,,,,,,,1_tooluseinVR/d1-022/S002/trackers/landmark/landmarkstimulus_estimates_T085.csv,1_tooluseinVR/d1-022/S002/trackers/landmark/landmark_eyeTrackingData_T085.csv
1_tooluseinVR,d1-022,2,68,3,2,1225.134,1226.3,,,,,,,1_tooluseinVR/d1-022/S002/trackers/landmark/landmarkstimulus_estimates_T086.csv,1_tooluseinVR/d1-022/S002/trackers/landmark/landmark_eyeTrackingData_T086.csv
1_tooluseinVR,d1-022,2,69,3,3,1230.354,1232.763,,,,,,,1_tooluseinVR/d1-022/S002/trackers/landmark/landmarkstimulus_estimates_T087.csv,1_tooluseinVR/d1-022/S002/trackers/landmark/landmark_eyeTrackingData_T087.csv
1_tooluseinVR,d1-022,2,70,3,4,1236.815,1240.327,,,,,,,1_tooluseinVR/d1-022/S002/trackers/landmark/landmarkstimulus_estimates_T088.csv,1_tooluseinVR/d1-022/S002/trackers/landmark/landmark_eyeTrackingData_T088.csv
1_tooluseinVR,d1-022,2,71,3,5,1244.38,1245.802,,,,,,,1_tooluseinVR/d1-022/S002/trackers/landmark/landmarkstimulus_estimates_T089.csv,1_tooluseinVR/d1-022/S002/trackers/landmark/landmark_eyeTrackingData_T089.csv
1_tooluseinVR,d1-022,2,72,3,6,1249.856,1251.655,,,,,,,1_tooluseinVR/d1-022/S002/trackers/landmark/landmarkstimulus_estimates_T090.csv,1_tooluseinVR/d1-022/S002/trackers/landmark/landmark_eyeTrackingData_T090.csv
1_tooluseinVR,d1-022,2,73,3,7,1255.697,1258.463,,,,,,,1_tooluseinVR/d1-022/S002/trackers/landmark/landmarkstimulus_estimates_T091.csv,1_tooluseinVR/d1-022/S002/trackers/landmark/landmark_eyeTrackingData_T091.csv
1_tooluseinVR,d1-022,2,74,3,8,1262.505,1265.826,,,,,,,1_tooluseinVR/d1-022/S002/trackers/landmark/landmarkstimulus_estimates_T092.csv,1_tooluseinVR/d1-022/S002/trackers/landmark/landmark_eyeTrackingData_T092.csv
1_tooluseinVR,d1-022,2,75,3,9,1269.879,1274.244,,,,,,,1_tooluseinVR/d1-022/S002/trackers/landmark/landmarkstimulus_estimates_T093.csv,1_tooluseinVR/d1-022/S002/trackers/landmark/landmark_eyeTrackingData_T093.csv
1_tooluseinVR,d1-022,2,76,3,10,1278.298,1280.852,,,,,,,1_tooluseinVR/d1-022/S002/trackers/landmark/landmarkstimulus_estimates_T094.csv,1_tooluseinVR/d1-022/S002/trackers/landmark/landmark_eyeTrackingData_T094.csv
