experiment,ppid,session_num,trial_num,block_num,trial_num_in_block,start_time,end_time,tool_reach_vive_tool_movement_steamvr_location_0,tool_reach_eyeTrackingData_location_0,tool_reach_ppt_tool_movement_location_0,manual_reach_vive_wrist_movement_steamvr_location_0,manual_reach_eyeTrackingData_location_0,manual_reach_ppt_hand_movement_location_0,landmarkstimulus_estimates_location_0,landmark_eyeTrackingData_location_0
1_tooluseinVR,d-1-002,1,35,2,17,,,,,,,,,1_tooluseinVR/d-1-002/S001/trackers/landmark/landmarkstimulus_estimates_T035.csv,1_tooluseinVR/d-1-002/S001/trackers/landmark/landmark_eyeTrackingData_T035.csv
1_tooluseinVR,d-1-002,1,36,2,18,,,,,,,,,1_tooluseinVR/d-1-002/S001/trackers/landmark/landmarkstimulus_estimates_T036.csv,1_tooluseinVR/d-1-002/S001/trackers/landmark/landmark_eyeTrackingData_T036.csv
1_tooluseinVR,d-1-002,1,37,3,1,32.30418,41.26837,1_tooluseinVR/d-1-002/S001/trackers/tool_reach/tool_reach_vive_tool_movement_steamvr_T001.csv,1_tooluseinVR/d-1-002/S001/trackers/tool_reach/tool_reach_eyeTrackingData_T001.csv,1_tooluseinVR/d-1-002/S001/trackers/tool_reach/tool_reach_ppt_tool_movement_T001.csv,,,,,
1_tooluseinVR,d-1-002,1,38,3,2,42.31015,49.56448,1_tooluseinVR/d-1-002/S001/trackers/tool_reach/tool_reach_vive_tool_movement_steamvr_T002.csv,1_tooluseinVR/d-1-002/S001/trackers/tool_reach/tool_reach_eyeTrackingData_T002.csv,1_tooluseinVR/d-1-002/S001/trackers/tool_reach/tool_reach_ppt_tool_movement_T002.csv,,,,,
1_tooluseinVR,d-1-002,1,39,3,3,50.5957,58.34882,1_tooluseinVR/d-1-002/S001/trackers/tool_reach/tool_reach_vive_tool_movement_steamvr_T003.csv,1_tooluseinVR/d-1-002/S001/trackers/tool_reach/tool_reach_eyeTrackingData_T003.csv,1_tooluseinVR/d-1-002/S001/trackers/tool_reach/tool_reach_ppt_tool_movement_T003.csv,,,,,
1_tooluseinVR,d-1-002,1,40,3,4,59.37957,67.16737,1_tooluseinVR/d-1-002/S001/trackers/tool_reach/tool_reach_vive_tool_movement_steamvr_T004.csv,1_tooluseinVR/d-1-002/S001/trackers/tool_reach/tool_reach_eyeTrackingData_T004.csv,1_tooluseinVR/d-1-002/S001/trackers/tool_reach/tool_reach_ppt_tool_movement_T004.csv,,,,,
1_tooluseinVR,d-1-002,1,41,3,5,68.19949,75.18496,1_tooluseinVR/d-1-002/S001/trackers/tool_reach/tool_reach_vive_tool_movement_steamvr_T005.csv,1_tooluseinVR/d-1-002/S001/trackers/tool_reach/tool_reach_eyeTrackingData_T005.csv,1_tooluseinVR/d-1-002/S001/trackers/tool_reach/tool_reach_ppt_tool_movement_T005.csv,,,,,
1_tooluseinVR,d-1-002,1,42,3,6,76.21626,83.5035,1_tooluseinVR/d-1-002/S001/trackers/tool_reach/tool_reach_vive_tool_movement_steamvr_T006.csv,1_tooluseinVR/d-1-002/S001/trackers/tool_reach/tool_reach_eyeTrackingData_T006.csv,1_tooluseinVR/d-1-002/S001/trackers/tool_reach/tool_reach_ppt_tool_movement_T006.csv,,,,,
1_tooluseinVR,d-1-002,1,43,3,7,84.53432,91.8772,1_tooluseinVR/d-1-002/S001/trackers/tool_reach/tool_reach_vive_tool_movement_steamvr_T007.csv,1_tooluseinVR/d-1-002/S001/trackers/tool_reach/tool_reach_eyeTrackingData_T007.csv,1_tooluseinVR/d-1-002/S001/trackers/tool_reach/tool_reach_ppt_tool_movement_T007.csv,,,,,
1_tooluseinVR,d-1-002,1,44,3,8,92.91895,99.80684,1_tooluseinVR/d-1-002/S001/trackers/tool_reach/tool_reach_vive_tool_movement_steamvr_T008.csv,1_tooluseinVR/d-1-002/S001/trackers/tool_reach/tool_reach_eyeTrackingData_T008.csv,1_tooluseinVR/d-1-002/S001/trackers/tool_reach/tool_reach_ppt_tool_movement_T008.csv,,,,,
