experiment,ppid,session_num,trial_num,block_num,trial_num_in_block,start_time,end_time,landmarkstimulus_estimates_location_0,landmark_eyeTrackingData_location_0,manual_reach_vive_wrist_movement_steamvr_location_0,manual_reach_eyeTrackingData_location_0,manual_reach_ppt_hand_movement_location_0,tool_reach_vive_tool_movement_steamvr_location_0,tool_reach_eyeTrackingData_location_0,tool_reach_ppt_tool_movement_location_0
1_tooluseinVR,d1-007,1,54,3,18,1087.506,1091.87,,,,,,1_tooluseinVR/d1-007/S001/trackers/tool_reach/tool_reach_vive_tool_movement_steamvr_T054.csv,1_tooluseinVR/d1-007/S001/trackers/tool_reach/tool_reach_eyeTrackingData_T054.csv,1_tooluseinVR/d1-007/S001/trackers/tool_reach/tool_reach_ppt_tool_movement_T054.csv
1_tooluseinVR,d1-007,1,55,3,19,1094.825,1099.078,,,,,,1_tooluseinVR/d1-007/S001/trackers/tool_reach/tool_reach_vive_tool_movement_steamvr_T055.csv,1_tooluseinVR/d1-007/S001/trackers/tool_reach/tool_reach_eyeTrackingData_T055.csv,1_tooluseinVR/d1-007/S001/trackers/tool_reach/tool_reach_ppt_tool_movement_T055.csv
1_tooluseinVR,d1-007,1,56,3,20,1102.032,1106.584,,,,,,1_tooluseinVR/d1-007/S001/trackers/tool_reach/tool_reach_vive_tool_movement_steamvr_T056.csv,1_tooluseinVR/d1-007/S001/trackers/tool_reach/tool_reach_eyeTrackingData_T056.csv,1_tooluseinVR/d1-007/S001/trackers/tool_reach/tool_reach_ppt_tool_movement_T056.csv
1_tooluseinVR,d1-007,1,57,3,21,1109.54,1113.917,,,,,,1_tooluseinVR/d1-007/S001/trackers/tool_reach/tool_reach_vive_tool_movement_steamvr_T057.csv,1_tooluseinVR/d1-007/S001/trackers/tool_reach/tool_reach_eyeTrackingData_T057.csv,1_tooluseinVR/d1-007/S001/trackers/tool_reach/tool_reach_ppt_tool_movement_T057.csv
1_tooluseinVR,d1-007,1,58,3,22,1116.87,1121.501,,,,,,1_tooluseinVR/d1-007/S001/trackers/tool_reach/tool_reach_vive_tool_movement_steamvr_T058.csv,1_tooluseinVR/d1-007/S001/trackers/tool_reach/tool_reach_eyeTrackingData_T058.csv,1_tooluseinVR/d1-007/S001/trackers/tool_reach/tool_reach_ppt_tool_movement_T058.csv
1_tooluseinVR,d1-007,1,59,3,23,1124.455,1128.522,,,,,,1_tooluseinVR/d1-007/S001/trackers/tool_reach/tool_reach_vive_tool_movement_steamvr_T059.csv,1_tooluseinVR/d1-007/S001/trackers/tool_reach/tool_reach_eyeTrackingData_T059.csv,1_tooluseinVR/d1-007/S001/trackers/tool_reach/tool_reach_ppt_tool_movement_T059.csv
1_tooluseinVR,d1-007,1,60,3,24,1131.474,1135.384,,,,,,1_tooluseinVR/d1-007/S001/trackers/tool_reach/tool_reach_vive_tool_movement_steamvr_T060.csv,1_tooluseinVR/d1-007/S001/trackers/tool_reach/tool_reach_eyeTrackingData_T060.csv,1_tooluseinVR/d1-007/S001/trackers/tool_reach/tool_reach_ppt_tool_movement_T060.csv
1_tooluseinVR,d1-007,1,61,3,25,1138.337,1142.359,,,,,,1_tooluseinVR/d1-007/S001/trackers/tool_reach/tool_reach_vive_tool_movement_steamvr_T061.csv,1_tooluseinVR/d1-007/S001/trackers/tool_reach/tool_reach_eyeTrackingData_T061.csv,1_tooluseinVR/d1-007/S001/trackers/tool_reach/tool_reach_ppt_tool_movement_T061.csv
1_tooluseinVR,d1-007,1,62,3,26,1145.312,1149.29,,,,,,1_tooluseinVR/d1-007/S001/trackers/tool_reach/tool_reach_vive_tool_movement_steamvr_T062.csv,1_tooluseinVR/d1-007/S001/trackers/tool_reach/tool_reach_eyeTrackingData_T062.csv,1_tooluseinVR/d1-007/S001/trackers/tool_reach/tool_reach_ppt_tool_movement_T062.csv
1_tooluseinVR,d1-007,1,63,3,27,1152.241,1156.419,,,,,,1_tooluseinVR/d1-007/S001/trackers/tool_reach/tool_reach_vive_tool_movement_steamvr_T063.csv,1_tooluseinVR/d1-007/S001/trackers/tool_reach/tool_reach_eyeTrackingData_T063.csv,1_tooluseinVR/d1-007/S001/trackers/tool_reach/tool_reach_ppt_tool_movement_T063.csv
1_tooluseinVR,d1-007,1,64,3,28,1159.372,1162.915,,,,,,1_tooluseinVR/d1-007/S001/trackers/tool_reach/tool_reach_vive_tool_movement_steamvr_T064.csv,1_tooluseinVR/d1-007/S001/trackers/tool_reach/tool_reach_eyeTrackingData_T064.csv,1_tooluseinVR/d1-007/S001/trackers/tool_reach/tool_reach_ppt_tool_movement_T064.csv
1_tooluseinVR,d1-007,1,65,3,29,1165.868,1169.813,,,,,,1_tooluseinVR/d1-007/S001/trackers/tool_reach/tool_reach_vive_tool_movement_steamvr_T065.csv,1_tooluseinVR/d1-007/S001/trackers/tool_reach/tool_reach_eyeTrackingData_T065.csv,1_tooluseinVR/d1-007/S001/trackers/tool_reach/tool_reach_ppt_tool_movement_T065.csv
1_tooluseinVR,d1-007,1,66,3,30,1172.765,1176.531,,,,,,1_tooluseinVR/d1-007/S001/trackers/tool_reach/tool_reach_vive_tool_movement_steamvr_T066.csv,1_tooluseinVR/d1-007/S001/trackers/tool_reach/tool_reach_eyeTrackingData_T066.csv,1_tooluseinVR/d1-007/S001/trackers/tool_reach/tool_reach_ppt_tool_movement_T066.csv
1_tooluseinVR,d1-007,1,67,3,31,1179.485,1184.627,,,,,,1_tooluseinVR/d1-007/S001/trackers/tool_reach/tool_reach_vive_tool_movement_steamvr_T067.csv,1_tooluseinVR/d1-007/S001/trackers/tool_reach/tool_reach_eyeTrackingData_T067.csv,1_tooluseinVR/d1-007/S001/trackers/tool_reach/tool_reach_ppt_tool_movement_T067.csv
1_tooluseinVR,d1-007,1,68,3,32,1187.581,1191.391,,,,,,1_tooluseinVR/d1-007/S001/trackers/tool_reach/tool_reach_vive_tool_movement_steamvr_T068.csv,1_tooluseinVR/d1-007/S001/trackers/tool_reach/tool_reach_eyeTrackingData_T068.csv,1_tooluseinVR/d1-007/S001/trackers/tool_reach/tool_reach_ppt_tool_movement_T068.csv
1_tooluseinVR,d1-007,1,69,3,33,1194.345,1198.097,,,,,,1_tooluseinVR/d1-007/S001/trackers/tool_reach/tool_reach_vive_tool_movement_steamvr_T069.csv,1_tooluseinVR/d1-007/S001/trackers/tool_reach/tool_reach_eyeTrackingData_T069.csv,1_tooluseinVR/d1-007/S001/trackers/tool_reach/tool_reach_ppt_tool_movement_T069.csv
1_tooluseinVR,d1-007,1,70,3,34,1201.052,1204.841,,,,,,1_tooluseinVR/d1-007/S001/trackers/tool_reach/tool_reach_vive_tool_movement_steamvr_T070.csv,1_tooluseinVR/d1-007/S001/trackers/tool_reach/tool_reach_eyeTrackingData_T070.csv,1_tooluseinVR/d1-007/S001/trackers/tool_reach/tool_reach_ppt_tool_movement_T070.csv
1_tooluseinVR,d1-007,1,71,3,35,1207.793,1214.581,,,,,,1_tooluseinVR/d1-007/S001/trackers/tool_reach/tool_reach_vive_tool_movement_steamvr_T071.csv,1_tooluseinVR/d1-007/S001/trackers/tool_reach/tool_reach_eyeTrackingData_T071.csv,1_tooluseinVR/d1-007/S001/trackers/tool_reach/tool_reach_ppt_tool_movement_T071.csv
1_tooluseinVR,d1-007,1,72,3,36,1217.533,1224.987,,,,,,1_tooluseinVR/d1-007/S001/trackers/tool_reach/tool_reach_vive_tool_movement_steamvr_T072.csv,1_tooluseinVR/d1-007/S001/trackers/tool_reach/tool_reach_eyeTrackingData_T072.csv,1_tooluseinVR/d1-007/S001/trackers/tool_reach/tool_reach_ppt_tool_movement_T072.csv
1_tooluseinVR,d1-007,1,73,3,37,1227.939,1232.271,,,,,,1_tooluseinVR/d1-007/S001/trackers/tool_reach/tool_reach_vive_tool_movement_steamvr_T073.csv,1_tooluseinVR/d1-007/S001/trackers/tool_reach/tool_reach_eyeTrackingData_T073.csv,1_tooluseinVR/d1-007/S001/trackers/tool_reach/tool_reach_ppt_tool_movement_T073.csv
